Year,Year_SD,Month,HPI_NE,HPI_MW,HPI_S,HPI_W,HPI_NE_SD,HPI_MW_SD,HPI_S_SD,HPI_W_SD,HPI,HPI_SD,HPI_SR,CCI,CCI_SD,CCI_SR, CCI_W,CCI_MW,CCI_NE,CCI_S,CCI_W_SD,CCI_MW_SD,CCI_NE_SD,CCI_S_SD,Creditloan,Creditloan_SD,Creditloan_SR,FCFI,FCFI_SD,FCFI_SR,HouseSt,HouseSt_SD,HouseSt_SR,HousePer,HousePer_SD,HousePer_SR,Unem,Unem_SD,Unem_SR,Newsales,Newsales_SD,Newsales_SR
1978,1,1,28.83140957,40.22516358,39.73448243,35.80336068,1,1,1,1,31.6844408,1,0.009794821,107.8,1,-0.017319964,83.6,85.5,84.1,81.3,1,1,1,1,263358.83,1,-0.007282368,6.782,1,0.014510097,1.738,1,0.011641444,1740,1,-0.007981756,6.4,1,0,795,1,-0.047904192
1978,1,2,28.95233663,40.64788379,40.08574757,36.26281412,1.004194282,1.01050885,1.00884031,1.01283269,31.96386072,1.008818837,0.008818837,107,0.99257885,-0.00742115,94.2,81.9,83.1,81.6,1.126794258,0.957894737,0.988109394,1.003690037,263563.17,1.0007759,0.0007759,6.921,1.020495429,0.020495429,2.032,1.169159954,0.169159954,1736,0.997701149,-0.002298851,6.3,0.984375,-0.015625,791,0.994968553,-0.005031447
1978,1,3,29.112204,41.20963329,40.48504901,36.74570005,1.009739185,1.024473977,1.018889552,1.026319858,32.25367219,1.017965644,0.009066848,104.7,0.971243043,-0.021495327,79.6,76.7,78.7,79.7,0.95215311,0.897076023,0.935790725,0.980319803,266971,1.013715773,0.012929841,6.995,1.031406665,0.010692097,2.197,1.264096663,0.081200787,1799,1.033908046,0.036290323,6.3,0.984375,0,814,1.023899371,0.029077118
1978,1,4,29.35422236,41.89611894,40.9707982,37.28474053,1.018133445,1.041540051,1.03111443,1.041375441,32.62141274,1.029571989,0.01140151,109.9,1.019480519,0.049665712,81.6,80.9,82.5,81.6,0.976076555,0.94619883,0.98097503,1.003690037,271526.97,1.03101525,0.017065412,7.033,1.037009732,0.005432452,2.075,1.193901036,-0.055530269,1948,1.11954023,0.082823791,6.1,0.953125,-0.031746032,864,1.086792453,0.061425061
1978,1,5,29.69427258,42.46049884,41.44819742,37.87183897,1.029927882,1.05557057,1.043129163,1.0577733,33.00031208,1.04153052,0.01161505,105.5,0.978664193,-0.040036397,86.4,81.5,79.7,84.5,1.033492823,0.953216374,0.947681332,1.039360394,277368.03,1.053194343,0.021511896,7.136,1.052196992,0.014645244,2.07,1.191024166,-0.002409639,1766,1.014942529,-0.093429158,6,0.9375,-0.016393443,857,1.077987421,-0.008101852
1978,1,6,30.08701895,42.85213026,41.89962255,38.45888391,1.043550052,1.065306551,1.054490206,1.074169664,33.31481542,1.051456632,0.009530314,109.5,1.015769944,0.037914692,85.1,79.6,76.5,79.5,1.017942584,0.930994152,0.909631391,0.977859779,284526,1.080373876,0.025806759,7.232,1.066352109,0.013452915,2.092,1.203682394,0.010628019,1983,1.139655172,0.122876557,5.9,0.921875,-0.016666667,834,1.049056604,-0.026837806
1978,1,7,30.47181351,43.23527566,42.37235584,38.99831057,1.056896418,1.074831568,1.066387512,1.089236033,33.6802795,1.062991129,0.010970017,105.4,0.977736549,-0.037442922,91,78.2,85.4,78.8,1.088516746,0.914619883,1.015457788,0.969249692,288081.53,1.093874582,0.012496327,7.328,1.080507225,0.013274336,1.996,1.14844649,-0.045889101,1786,1.026436782,-0.099344428,6.2,0.96875,0.050847458,789,0.99245283,-0.053956835
1978,1,8,30.82600975,43.57492322,42.79333996,39.46006393,1.069181501,1.083275227,1.076982443,1.102132961,34.073894,1.075414088,0.011686794,108,1.001855288,0.024667932,76.2,80.4,78.7,77.6,0.911483254,0.940350877,0.935790725,0.954489545,293864.07,1.115831468,0.020072582,7.403,1.09156591,0.010234716,1.97,1.133486766,-0.013026052,1691,0.97183908,-0.053191489,5.9,0.921875,-0.048387097,756,0.950943396,-0.041825095
1978,1,9,31.12427635,43.83072556,43.13787724,39.86787594,1.079526697,1.089634489,1.085653432,1.113523289,34.43217633,1.08672192,0.010514863,106.6,0.988868275,-0.012962963,85.6,77.8,80.1,80.3,1.023923445,0.90994152,0.952437574,0.987699877,298022,1.131619547,0.014149161,7.533,1.110734297,0.017560448,1.981,1.13981588,0.005583756,1751,1.006321839,0.035481963,6,0.9375,0.016949153,812,1.021383648,0.074074074
1978,1,10,31.40542427,44.03375853,43.46381001,40.29563147,1.089278143,1.094681901,1.093856201,1.125470646,34.8077564,1.09857569,0.010907822,108.6,1.00742115,0.018761726,77.1,79.9,82.2,78.4,0.922248804,0.934502924,0.977407848,0.964329643,300297.28,1.140259015,0.007634604,7.699,1.135210852,0.022036373,2.094,1.204833142,0.057041898,1781,1.023563218,0.017133067,5.8,0.90625,-0.033333333,872,1.096855346,0.073891626
1978,1,11,31.74450238,44.2253378,43.82685968,40.7618465,1.101038862,1.099444573,1.102993093,1.13849219,35.20217099,1.1110239,0.011331227,96.5,0.895176252,-0.111418048,82.4,73.1,69.6,76.1,0.985645933,0.85497076,0.827586207,0.93603936,304403.72,1.155851581,0.013674583,7.992,1.178413447,0.038056891,2.044,1.176064442,-0.023877746,1795,1.031609195,0.007860752,5.9,0.921875,0.017241379,798,1.003773585,-0.084862385
1978,1,12,32.08972998,44.43043719,44.19641993,41.24520319,1.113012873,1.104543356,1.112293837,1.151992506,35.56207303,1.122382852,0.010223859,102.2,0.948051948,0.059067358,71.4,65.6,62.1,67.5,0.854066986,0.767251462,0.738406659,0.830258303,311305,1.182056436,0.022671471,8.181,1.206281333,0.023648649,1.63,0.937859609,-0.202544031,1818,1.044827586,0.01281337,6,0.9375,0.016949153,805,1.012578616,0.00877193
1979,1.000505561,1,32.36329432,44.70546758,44.55108418,41.73258921,1.122501286,1.111380629,1.121219693,1.165605362,35.89461911,1.132878416,0.009351144,99.5,0.923005566,-0.026418787,70.6,76.2,73.5,69.3,0.844497608,0.89122807,0.873959572,0.852398524,310777.61,1.180053883,-0.001694126,8.398,1.238277794,0.026524875,1.52,0.87456847,-0.067484663,1461,0.839655172,-0.196369637,5.9,0.921875,-0.016666667,754,0.948427673,-0.063354037
1979,1.000505561,2,32.56444535,45.08015446,44.91572814,42.22928154,1.129478088,1.120695367,1.130396708,1.179478148,36.24321076,1.143880398,0.009711529,101.5,0.941558442,0.020100503,77.5,75.8,68,73.5,0.927033493,0.886549708,0.808561237,0.904059041,311137.39,1.181420004,0.001157677,8.576,1.264523739,0.021195523,1.847,1.062715765,0.215131579,1492,0.857471264,0.021218344,5.9,0.921875,0,723,0.909433962,-0.041114058
1979,1.000505561,3,32.73351866,45.53770922,45.33493125,42.77803968,1.135342294,1.132070206,1.140946817,1.194805149,36.61776292,1.155701726,0.010334409,96.4,0.894248609,-0.050246305,67.4,71.3,65.5,68,0.806220096,0.833918129,0.778834721,0.836408364,313819,1.191602347,0.008618733,8.834,1.302565615,0.030083955,1.748,1.00575374,-0.053600433,1720,0.988505747,0.152815013,5.8,0.90625,-0.016949153,793,0.997484277,0.096818811
1979,1.000505561,4,32.9092885,46.07344706,45.86161754,43.40403506,1.141438764,1.145388681,1.154201961,1.212289412,37.05848967,1.169611606,0.012035873,94.6,0.87755102,-0.018672199,64.8,65.6,58.1,71.9,0.775119617,0.767251462,0.690844233,0.884378844,318058.26,1.207699244,0.013508615,8.891,1.310970215,0.006452343,1.876,1.079401611,0.073226545,1597,0.917816092,-0.071511628,5.8,0.90625,0,748,0.940880503,-0.056746532
1979,1.000505561,5,33.10982383,46.54691678,46.39452605,44.06279841,1.148394211,1.157159167,1.1676137,1.230688895,37.47493261,1.182755058,0.01123745,96,0.890538033,0.014799154,69.6,68.2,64.8,69.1,0.832535885,0.797660819,0.770511296,0.849938499,322879.74,1.22600689,0.01515911,8.945,1.318932468,0.006073558,1.913,1.100690449,0.019722814,1684,0.967816092,0.054477145,5.6,0.875,-0.034482759,727,0.914465409,-0.028074866
1979,1.000505561,6,33.35463359,46.89652849,46.87641985,44.65808618,1.156885289,1.165850535,1.179741549,1.247315485,37.78591466,1.192570035,0.008298402,92.7,0.859925788,-0.034375,66.3,63.3,66.8,66.8,0.793062201,0.740350877,0.794292509,0.821648216,327319,1.242863207,0.013748958,8.937,1.317752875,-0.000894354,1.76,1.012658228,-0.07997909,1640,0.942528736,-0.026128266,5.7,0.890625,0.017857143,700,0.880503145,-0.037138927
1979,1.000505561,7,33.62399609,47.20157048,47.35908244,45.13540397,1.166227964,1.173433898,1.191888746,1.260647132,38.14228384,1.203817485,0.00943127,81.4,0.755102041,-0.121898598,59.7,58,60.4,63.3,0.714114833,0.678362573,0.718192628,0.778597786,330907.49,1.256489065,0.01096328,8.96,1.321144205,0.002573571,1.778,1.02301496,0.010227273,1534,0.881609195,-0.064634146,5.7,0.890625,0,715,0.899371069,0.021428571
1979,1.000505561,8,33.87247519,47.45074385,47.79985631,45.53285531,1.174846312,1.179628363,1.202981727,1.271748083,38.57150742,1.21736431,0.011253222,79.4,0.736549165,-0.024570025,71.7,63,61.9,62.9,0.857655502,0.736842105,0.736028537,0.773677737,336780.98,1.278791298,0.017749644,9.005,1.327779416,0.005022321,1.832,1.054085155,0.030371204,1591,0.914367816,0.037157757,6,0.9375,0.052631579,729,0.916981132,0.01958042
